series,date,hour,bucket,price,model_p,edge,won,determined,source
KXHIGHNY,2026-06-11,15,92-93,0.15500000000000003,0.10760000000000003,-0.0474,False,False,metar_6h_group
KXHIGHNY,2026-06-11,15,90-91,0.85,0.8845,0.034499999999999975,True,False,metar_6h_group
KXHIGHNY,2026-06-11,16,92-93,0.055,0.0484,-0.006600000000000002,False,True,metar_6h_group
KXHIGHNY,2026-06-11,16,90-91,0.945,0.9516,0.00660000000000005,True,True,metar_6h_group
KXHIGHNY,2026-06-11,17,92-93,0.05500000000000001,0.0131,-0.04190000000000001,False,False,metar_6h_group
KXHIGHNY,2026-06-11,17,90-91,0.945,0.9869,0.04190000000000005,True,False,metar_6h_group
KXHIGHNY,2026-06-11,18,92-93,0.07,0.0039000000000000146,-0.06609999999999999,False,False,metar_6h_group
KXHIGHNY,2026-06-11,18,90-91,0.945,0.9961,0.051100000000000034,True,False,metar_6h_group
KXHIGHNY,2026-06-12,13,94-95,0.065,0.013699999999999966,-0.05130000000000004,False,False,hourly_snapshot
KXHIGHNY,2026-06-12,13,92-93,0.22,0.051189108910891054,-0.16881089108910896,False,False,hourly_snapshot
KXHIGHNY,2026-06-12,13,90-91,0.61,0.2100920792079213,-0.3999079207920787,True,False,hourly_snapshot
KXHIGHNY,2026-06-12,14,92-93,0.060000000000000005,0.02100000000000002,-0.038999999999999986,False,False,metar_6h_group
KXHIGHNY,2026-06-12,14,90-91,0.375,0.21520000000000006,-0.15979999999999994,True,False,metar_6h_group
KXHIGHNY,2026-06-12,15,90-91,0.265,0.10760000000000003,-0.15739999999999998,True,False,metar_6h_group
KXHIGHNY,2026-06-12,16,92-93,0.03,0.0,-0.03,False,False,metar_6h_group
KXHIGHNY,2026-06-12,16,90-91,0.13,0.0484,-0.0816,True,False,metar_6h_group
KXHIGHNY,2026-06-12,17,92-93,0.045,0.0,-0.045,False,False,metar_6h_group
KXHIGHNY,2026-06-12,17,90-91,0.955,0.0131,-0.9419,True,False,metar_6h_group
KXHIGHNY,2026-06-13,13,89-90,0.045,0.013699999999999966,-0.031300000000000036,False,False,hourly_snapshot
KXHIGHNY,2026-06-13,13,87-88,0.165,0.051189108910891054,-0.11381089108910895,False,False,hourly_snapshot
KXHIGHNY,2026-06-13,14,87-88,0.21000000000000002,0.02100000000000002,-0.189,False,False,metar_6h_group
KXHIGHNY,2026-06-13,15,87-88,0.16499999999999998,0.005299999999999971,-0.1597,False,False,metar_6h_group
KXHIGHNY,2026-06-13,16,87-88,0.055,0.0,-0.055,False,False,metar_6h_group
KXHIGHNY,2026-06-13,17,87-88,0.04,0.0,-0.04,False,False,metar_6h_group
KXHIGHNY,2026-06-14,13,89-90,0.055,0.10369009900990107,0.048690099009901074,False,False,hourly_snapshot
KXHIGHNY,2026-06-14,13,87-88,0.565,0.3617603960396039,-0.20323960396039603,True,False,hourly_snapshot
KXHIGHNY,2026-06-14,13,85-86,0.4,0.49059405940594103,0.09059405940594101,False,False,hourly_snapshot
KXHIGHNY,2026-06-14,14,89-90,0.09,0.09319999999999995,0.003199999999999953,False,False,metar_6h_group
KXHIGHNY,2026-06-14,14,87-88,0.905,0.8937,-0.011299999999999977,True,False,metar_6h_group
KXHIGHNY,2026-06-14,15,89-90,0.03,0.03290000000000004,0.0029000000000000414,False,False,metar_6h_group
KXHIGHNY,2026-06-15,13,78-79,0.065,0.051189108910891054,-0.013810891089108948,False,False,hourly_snapshot
KXHIGHNY,2026-06-15,18,82-83,0.065,0.0,-0.065,False,False,hourly_snapshot
KXHIGHNY,2026-06-16,13,77-78,0.575,0.2100920792079213,-0.3649079207920787,False,False,hourly_snapshot
KXHIGHNY,2026-06-16,13,75-76,0.415,0.5341782178217822,0.11917821782178223,True,False,hourly_snapshot
